Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Hansgrohe Croma Select E 180 2 Jet Showerpipe 27258400;https://www.aquanet.ru/product/dushevaya-stoyka-hansgrohe-croma-select-e-180-2-jet-showerpipe-27258400/;27258400;Hansgrohe;Главная @ Душевые системы @ Душевые стойки ;Croma;Душевая стойка;Для душа;Однорычажное;На стену;218;1141;486;Латунь/пластик;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1600;1600;Германия;;;;Нет;180;июн.42;
Душевая стойка Hansgrohe Croma Select S 180 2 Jet Showerpipe 27253400;https://www.aquanet.ru/product/dushevaya-stoyka-hansgrohe-croma-select-s-180-2-jet-showerpipe-27253400/;27253400;Hansgrohe;Главная @ Душевые системы @ Душевые стойки ;Croma;Душевая стойка;Для душа;Термостат;На стену;304;1141;486;Латунь/пластик;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1600;1600;Германия;;;;Да;180;6.519;
Верхний душ Aquanet Classic ARB08T1-J(T);https://www.aquanet.ru/product/verkhniy_dush_aquanet_classic_arb08t1_j_t/;202244;Aquanet;Главная @ Душевые системы @ Верхние души ;Classic;Верхний душ;Для душа;;На стену;204;145;204;Латунь;Классический;Золото;;;;;;;;01.фев;;;;Нет;;;;204;01.июл;
Верхний душ Aquanet Classic ARB06T1-Q(B);https://www.aquanet.ru/product/verkhniy_dush_aquanet_classic_arb06t1_q_b/;202247;Aquanet;Главная @ Душевые системы @ Верхние души ;Classic;Верхний душ;Для душа;;На стену;150;145;150;Латунь;Классический;Бронза;;;;;;;;01.фев;;;;Нет;;;;150;0.7;
Душевая панель Aquanet Galaxy Black AP40-04;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_black_ap40_04/;AP40-04;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Алюминий;Модерн;Черный;;;;;;Есть;;;;;Китай;Да;;;Нет;;10;
Душевая панель Aquanet Galaxy Matt AP40-02;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_matt_ap40_02/;AP40-02;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Нержавеющая сталь;Модерн;Хром матовый;;;;85;;Есть;;;;;Китай;Да;;;Нет;;10;
Душевая стойка Aquanet Steel AF210-7TS;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_steel_af210_7ts/;AF210-7TS;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Steel;Душевая стойка;Для душа;Термостат;На стену;250;1350;555;Нержавеющая сталь;Модерн;Сатин;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Да;250;6;
Гигиенический душ Aquanet Steel AF210-83S;https://www.aquanet.ru/product/gigienicheskiy_dush_aquanet_steel_af210_83s/;AF210-83S;Aquanet;Главная @ Душевые системы @ Гигиенический душ ;Steel;Гигиенический душ;;;;62;120;;Нержавеющая сталь;Модерн;Сатин;;;;;;;Есть;01.фев;120;120;Китай;;;;;;4;
Душевая панель Aquanet Galaxy Shine AP40-01;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_shine_ap40_01/;AP40-01;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Нержавеющая сталь;Модерн;Хром;;;;85;;Есть;;;;;Китай;Да;;;Нет;;10;
Верхний душ Hansgrohe Croma 160 27450000;https://www.aquanet.ru/product/hansgrohe_croma_160_27450000/;27450000;Hansgrohe;Главная @ Душевые системы @ Верхние души ;Croma;Верхний душ;Для душа;;На потолок;160;62;160;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;1;160;;160;0.885;1
Душевая панель Aquanet Galaxy White AP40-03;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_white_ap40_03/;AP40-03;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Алюминий;Модерн;Белый;;;;85;;Есть;;;;;Китай;Да;;;Нет;;10;
Душевая стойка Jacob Delafon Toobi E8993-CP;https://www.aquanet.ru/product/dushevaya-stoyka-jacob-delafon-toobi-e8993-cp/;E8993-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые стойки ;Toobi;Душевая стойка;Для душа;Термостат;На стену;324;1139;570;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1600;1600;Индия;Да;;;Да;250;12.фев;
Душевой гарнитур Jacob Delafon Beat E76907RU-CP;https://www.aquanet.ru/product/dushevoy-garnitur-jacob-delafon-beat-e76907ru-cp/;E76907RU-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые гарнитуры ;Beat;Душевой гарнитур;Для душа;;На стену;112;709;112;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Китай;;;;;;8;
Душевая лейка Jacob Delafon Shift Square E14788-CP;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-shift-square-e14788-cp/;E14788-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Shift Square;Душевая лейка;Для душа;;На шланг;25;229;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;1;
Душевая лейка Jacob Delafon Eo E3876-CP;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-eo-e3876-cp/;E3876-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;EO;Душевая лейка;Для душа;;На шланг;57;238;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;0.1;
Шланг для душа Jacob Delafon E75204-CP;https://www.aquanet.ru/product/gibkiy-shlang-dlya-dusha-jacob-delafon-e75204-cp/;E75204-CP;Jacob Delafon;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа / Для гигиенического душа;;;;;;Латунь;;Хром;;;;;;;;01.фев;;;Франция;;;;;;0.8;
Гигиенический душ Jacob Delafon Elate E97258-CP;https://www.aquanet.ru/product/gigienicheskiy-dush-jacob-delafon-elate-e97258-cp/;E97258-CP;Jacob Delafon;Главная @ Душевые системы @ Гигиенический душ ;Elate;Гигиенический душ;;;На стену;47;162;;Пластик;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Китай;;;;;;0.7;
Шланг для душа Jacob Delafon E75206-CP;https://www.aquanet.ru/product/gibkiy-shlang-dlya-dusha-jacob-delafon-e75206-cp/;E75206-CP;Jacob Delafon;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа / Для гигиенического душа;;;;;;Латунь;;Хром;;;;;;;;01.фев;;;Китай;;;;;;0.3;
Душевая панель Mingliu ML7148;https://www.aquanet.ru/product/dushevaya-panel-mingliu-ml7148/;ML7148;;Главная @ Душевые системы @ Душевые панели ;;Душевая панель;Для душа;Термостат;На стену;220;1420;550;Нержавеющая сталь;Модерн;Хром матовый;;;;;Да;Есть;Есть;;;;Китай;Да;;;Да;;15.мар;
Душевой гарнитур Jacob Delafon Eo E99940-CP;https://www.aquanet.ru/product/dushevoy-garnitur-jacob-delafon-eo-e99940-cp/;E99940-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые гарнитуры ;EO;Душевой гарнитур;Для душа;;На стену;116;909;104;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Китай;;;;;;01.июл;
Душевой гарнитур Jacob Delafon Eco E14320-CP;https://www.aquanet.ru/product/dushevoy-garnitur-jacob-delafon-eco-e14320-cp/;E14320-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые гарнитуры ;Eco;Душевой гарнитур;Для душа;;На стену;200;650;200;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Китай;;;;;;01.апр;
Душевая лейка Jacob Delafon Citrus E12902-CP;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-citrus-e12902-cp/;E12902-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Citrus;Душевая лейка;Для душа;;На шланг;90;205;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Франция;;;;;;01.апр;
Душевая лейка Jacob Delafon Shift Ellipse E45892-BN;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-shift-ellipse-e45892-bn/;E45892-BN;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Shift Ellipse;Душевая лейка;Для душа;;На шланг;28;229;;Пластик;Модерн;Полированный никель;;;;;;;Нет;01.фев;;;Китай;;;;;;0.25;
Душевой гарнитур Jacob Delafon Citrus E12979-CP;https://www.aquanet.ru/product/dushevoy-garnitur-jacob-delafon-citrus-e12979-cp/;E12979-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые гарнитуры ;Citrus;Душевой гарнитур;Для душа;;На стену;140;233;230;Пластик;Модерн;Хром;1;;;;Нет;Есть;;;1600;1600;Франция;;;;;;0.72;
Гигиенический душ Jacob Delafon E75089-CP;https://www.aquanet.ru/product/gigienicheskiy-dush-jacob-delafon-e75089-cp/;E75089-CP;Jacob Delafon;Главная @ Душевые системы @ Гигиенический душ ;;Гигиенический душ;;;На стену;;;;Пластик;Модерн;Хром/черный;;;;;;;Есть;01.фев;1250;1250;Франция;;;;;;;
Штанга для душа Jacob Delafon Fairfax E75099-CP;https://www.aquanet.ru/product/shtanga-dlya-dusha-jacob-delafon-fairfax-e75099-cp/;E75099-CP;Jacob Delafon;Главная @ Душевые системы @ Штанги для душа ;Fairfax;Штанга для душа;Для душа;;На стену;45;700;;Латунь;Модерн;Хром;2;;;;;;;;;;Италия;;;;;;01.апр;
Верхний душ Jacob Delafon Katalyst E13691-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-katalyst-e13691-cp/;E13691-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;Katalyst;Верхний душ;Для душа;;На потолок;355;65;355;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Франция;Да;;;;355;4;
Шланг для душа Oras 241004;https://www.aquanet.ru/product/oras_241004/;241004;Oras;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Металл;;Хром;;;;;;;;01.фев;;;Финляндия;;;;;;0.2;
Душевая лейка Bravat Snow P70144CP;https://www.aquanet.ru/product/dushevaya-leyka-bravat-snow-p70144cp/;P70144CP-RUS;Bravat;Главная @ Душевые системы @ Душевые лейки ;Snow;Душевая лейка;Для душа;;На шланг;139;273;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;0.394;
Верхний душ Lemark LM8043C;https://www.aquanet.ru/product/verkhniy_dush_lemark_lm8043c/;LM8043C;Lemark;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;;;;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;85;0.2;
Душевая стойка Hansgrohe Raindance Select E 360 27112400;https://www.aquanet.ru/product/hansgrohe_raindance_select_e_360_27112400/;27112400;Hansgrohe;Главная @ Душевые системы @ Душевые стойки ;Raindance;Душевая стойка;Для душа;Термостат;На стену;350;1066;487;Латунь/стекло;Hi - Tech;Хром/белый;3;;;;Да;Есть;Есть;01.фев;1600;1600;Германия;Да;;;Да;360;13.735;
